Kode UC	Nama Use Case	Aktor	Definisi Use Case	Deskripsi Singkat
UC00	Register	Mahasiswa	Proses pembuatan akun baru oleh calon pengguna agar dapat terdaftar dan mengakses sistem DoneRight.	Mahasiswa mengisi form registrasi berisi nama lengkap, email, dan password. Sistem memvalidasi keunikan email dan kekuatan password, lalu menyimpan akun baru dengan role mahasiswa.
UC01	Login	Mahasiswa	Proses autentikasi yang memverifikasi identitas pengguna agar dapat mengakses sistem secara aman dan personal.	Mahasiswa memasukkan kredensial (email/username dan password) untuk mengakses dashboard tugas pribadi. Sistem memverifikasi identitas dan membuat sesi aktif.
UC02	Tambah Tugas	Mahasiswa	Proses pencatatan tugas baru ke dalam sistem dengan mengisi atribut-atribut yang diperlukan untuk pengelolaan tugas.	Mahasiswa mengisi form penambahan tugas baru yang mencakup judul, deskripsi, kategori, prioritas, dan deadline. Sistem menyimpan tugas dengan status Aktif.
UC03	Validasi Input	Sistem	Proses pemeriksaan otomatis oleh sistem terhadap data yang dimasukkan pengguna untuk memastikan kelengkapan, format, dan kevalidan nilai sebelum data disimpan.	Sistem memeriksa kelengkapan dan kevalidan data form tugas, meliputi field wajib tidak boleh kosong, format tanggal deadline, serta nilai enum prioritas dan kategori yang diizinkan.
UC04	Lihat Daftar Tugas	Mahasiswa	Proses menampilkan keseluruhan data tugas milik mahasiswa dalam bentuk daftar yang informatif dan mudah dibaca.	Mahasiswa melihat seluruh tugas pribadi dalam tampilan daftar yang dapat diurutkan dan difilter. Daftar menampilkan status, prioritas, dan sisa waktu deadline tiap tugas.
UC05	Edit Tugas	Mahasiswa	Proses pembaruan data tugas yang sudah ada untuk menyesuaikan informasi tugas dengan kondisi atau kebutuhan terkini.	Mahasiswa mengubah satu atau lebih atribut tugas yang sudah ada (judul, deskripsi, kategori, prioritas, atau deadline). Perubahan disimpan ke database setelah melewati validasi.
UC06	Hapus Tugas (Soft Delete)	Mahasiswa	Proses penghapusan tugas menggunakan mekanisme soft delete, di mana data tidak dihapus secara fisik dari database melainkan ditandai sebagai terhapus.	Mahasiswa menghapus tugas dari tampilan daftar aktif. Sistem menampilkan dialog konfirmasi, lalu menandai tugas dengan flag deleted_at sehingga tidak muncul di daftar tanpa menghapus data dari database.
UC07	Tandai Tugas Selesai	Mahasiswa	Proses perubahan status tugas menjadi selesai melalui mekanisme checkbox sebagai penanda bahwa pengerjaan tugas telah berhasil diselesaikan oleh mahasiswa.	Mahasiswa mencentang checkbox pada tugas untuk mengubah statusnya dari Aktif menjadi Selesai. Sistem mencatat timestamp penyelesaian dan memperbarui persentase progress keseluruhan secara otomatis.
UC08	Cari Tugas	Mahasiswa	Proses pencarian tugas secara cepat menggunakan kata kunci untuk menemukan tugas tertentu di antara banyak tugas yang tersimpan.	Mahasiswa mencari tugas menggunakan kata kunci yang dicocokkan dengan judul atau deskripsi tugas. Hasil pencarian ditampilkan secara real-time pada daftar.
UC09	Filter Tugas	Mahasiswa	Proses penyaringan tampilan daftar tugas berdasarkan kriteria tertentu agar mahasiswa hanya melihat tugas yang relevan dengan kebutuhannya.	Mahasiswa memfilter tampilan daftar tugas berdasarkan satu atau kombinasi dari: status (Aktif/Selesai/Overdue), prioritas (High/Medium/Low), atau kategori tugas.
UC10	Sorting Tugas	Mahasiswa	Proses pengurutan tampilan daftar tugas berdasarkan kolom tertentu untuk memudahkan mahasiswa menentukan tugas mana yang harus dikerjakan lebih dahulu.	Mahasiswa mengurutkan daftar tugas berdasarkan kolom deadline (ascending/descending) atau prioritas (High ke Low atau sebaliknya) sesuai kebutuhan.
UC11	Atur Prioritas	Mahasiswa	Proses penetapan atau perubahan tingkat kepentingan suatu tugas relatif terhadap tugas-tugas lainnya untuk membantu manajemen waktu pengerjaan.	Mahasiswa menetapkan atau mengubah tingkat prioritas tugas menjadi High, Medium, atau Low. Nilai prioritas divalidasi dan digunakan sebagai dasar sorting dan filter.
UC12	Atur Deadline	Mahasiswa	Proses penetapan atau perubahan batas waktu pengerjaan tugas agar sistem dapat memantau ketepatan waktu penyelesaian secara otomatis.	Mahasiswa menetapkan atau mengubah tanggal batas pengerjaan tugas. Sistem akan otomatis mengubah status tugas menjadi Overdue apabila deadline terlampaui dan tugas belum selesai.
UC13	Lihat Progress	Mahasiswa	Proses pemantauan tingkat penyelesaian tugas secara keseluruhan dalam bentuk visualisasi persentase untuk memberikan gambaran produktivitas mahasiswa.	Mahasiswa memantau persentase penyelesaian tugas pribadi (jumlah tugas selesai dibanding total tugas aktif). Ditampilkan dalam bentuk widget progress bar pada halaman dashboard.
UC14	Login Admin	Admin	Proses autentikasi khusus yang memverifikasi identitas admin dan memberikan hak akses penuh ke panel administrasi sistem.	Admin mengakses panel administrasi menggunakan kredensial khusus admin. Sesi admin memiliki hak akses dan tampilan yang berbeda dari sesi mahasiswa biasa.
UC15	Monitoring Seluruh Tugas	Admin	Proses pemantauan dan peninjauan agregat seluruh data tugas dari semua mahasiswa terdaftar di platform untuk keperluan pengawasan sistem.	Admin melihat keseluruhan data tugas lintas mahasiswa dalam bentuk tabel yang dapat difilter berdasarkan status, prioritas, kategori, atau rentang waktu tertentu.
UC16	Monitoring Tugas Overdue	Admin	Proses pemantauan khusus terhadap tugas-tugas yang telah melewati batas deadline tanpa diselesaikan, sebagai indikator produktivitas dan kepatuhan mahasiswa.	Admin melihat daftar tugas berstatus Overdue dari seluruh mahasiswa, lengkap dengan informasi durasi keterlambatan dan identitas mahasiswa pemilik tugas.
UC17	Monitoring Statistik Produktivitas	Admin	Proses pengumpulan dan penampilan data statistik agregat yang merepresentasikan tingkat produktivitas penggunaan platform secara keseluruhan.	Admin melihat ringkasan statistik produktivitas platform yang meliputi total tugas, tingkat penyelesaian, distribusi prioritas, dan tren penyelesaian per periode waktu.
UC18	Kelola Kategori Tugas	Admin	Proses pengelolaan master data kategori tugas oleh admin sebagai data referensi yang digunakan seluruh mahasiswa saat membuat atau mengedit tugas.	Admin menambah atau menghapus master data kategori tugas yang berlaku secara global untuk seluruh pengguna sistem. Mahasiswa tidak dapat membuat kategori sendiri, melainkan memilih dari kategori yang telah disediakan admin.
UC19	Generate Laporan	Admin	Proses pembuatan dokumen laporan ringkasan sistem yang dapat diunduh, berisi data statistik dan daftar tugas sesuai parameter yang dipilih admin.	Admin menghasilkan laporan dalam format yang dapat diunduh (PDF/CSV), berisi data statistik produktivitas dan daftar tugas berdasarkan filter status, periode, atau kategori.
UC20	Lihat Detail Tugas	Mahasiswa	Proses menampilkan informasi lengkap sebuah tugas melalui mekanisme dropdown atau panel detail tanpa berpindah halaman.	Mahasiswa mengklik sebuah tugas dari daftar untuk memperluas panel detail yang menampilkan seluruh atribut tugas secara lengkap termasuk deskripsi, kategori, prioritas, deadline, dan status.
UC21	Kelompokkan Tugas per Kategori	Mahasiswa	Proses menampilkan daftar tugas yang dikelompokkan berdasarkan kategorinya sehingga mahasiswa dapat melihat tugas secara terorganisir per kelompok.	Mahasiswa melihat daftar tugas yang disusun dalam kelompok-kelompok berdasarkan kategori (Akademik, Organisasi, Pribadi, atau kategori kustom). Setiap kelompok menampilkan jumlah tugas di dalamnya.
UC22	Generate Laporan Pribadi	Mahasiswa	Proses pembuatan laporan ringkasan tugas pribadi oleh mahasiswa yang dapat diunduh, berisi data progress dan daftar tugas sesuai filter yang dipilih.	Mahasiswa menghasilkan laporan tugas pribadi dalam format yang dapat diunduh (PDF/CSV), berisi data progress penyelesaian dan daftar tugas berdasarkan filter status, prioritas, atau rentang waktu tertentu. Laporan hanya mencakup data tugas milik mahasiswa yang bersangkutan.
